L_anypoint_x,L_anypoint_y,R_anypoint_x,R_anypoint_y,Confidence
1196.000,1172.000,1124.902,1186.662,1.000
472.000,754.000,303.243,770.976,1.000
1196.000,1180.000,1123.116,1196.077,0.999
1140.000,1172.000,1067.585,1187.369,0.999
1148.000,1172.000,1076.043,1187.784,0.999
916.000,1284.000,811.364,1300.322,0.999
704.000,706.000,584.697,721.450,0.999
688.000,794.000,566.860,809.336,0.999
472.000,746.000,302.384,760.932,0.999
288.000,448.000,79.984,464.431,0.998
1188.000,1172.000,1115.677,1186.302,0.998
1132.000,1172.000,1059.165,1186.879,0.998
1196.000,1164.000,1124.406,1179.025,0.998
1132.000,1164.000,1059.451,1178.243,0.998
1164.000,1292.000,1068.431,1307.497,0.998
624.000,874.000,487.871,890.234,0.998
916.000,1292.000,810.843,1308.122,0.998
1260.000,1252.000,1180.316,1267.243,0.998
280.000,450.000,72.274,466.524,0.998
1124.000,1180.000,1051.489,1195.192,0.998
1004.000,1204.000,931.264,1217.509,0.997
704.000,698.000,585.618,714.942,0.997
1132.000,1244.000,1044.358,1259.586,0.997
1172.000,1188.000,1099.154,1202.028,0.997
1148.000,1164.000,1076.408,1178.764,0.997
692.000,802.000,572.069,817.955,0.997
1100.000,1180.000,1027.435,1195.181,0.997
696.000,794.000,575.774,809.394,0.997
1228.000,1252.000,1148.617,1266.643,0.997
892.000,996.000,788.600,1011.653,0.997
288.000,456.000,80.108,472.131,0.997
656.000,714.000,525.517,730.109,0.996
1220.000,1268.000,1131.043,1282.339,0.996
1148.000,1180.000,1075.278,1195.025,0.996
1140.000,1164.000,1068.207,1177.557,0.996
1124.000,1164.000,1052.103,1178.745,0.996
384.000,578.000,199.155,593.644,0.996
1124.000,1156.000,1051.831,1170.348,0.996
392.000,578.000,207.333,594.280,0.996
1228.000,1236.000,1148.599,1250.906,0.996
892.000,1004.000,788.803,1018.757,0.996
1584.000,722.000,1560.787,736.272,0.996
280.000,464.000,71.135,480.938,0.996
964.000,1116.000,876.020,1132.260,0.996
1028.000,1204.000,954.632,1219.514,0.996
1228.000,1244.000,1147.956,1258.263,0.996
696.000,858.000,576.774,873.618,0.995
1252.000,1252.000,1172.935,1267.047,0.995
1092.000,1172.000,1021.409,1187.910,0.995
